,node,at_point_10,at_point_25,at_point_40,at_point_50,at_point_80
1,16,80,357,456,490,611
2,25,2,344,451,495,602
3,54,3,362,462,490,582
4,57,5,354,447,504,589
5,64,120,361,457,522,600
6,121,207,348,467,517,600
7,126,1,356,457,507,590
8,174,127,352,460,490,603
