x,node,at_point_10,at_point_25,at_point_40,at_point_50,at_point_80
1,3,136,359,451,490,586
2,8,1,383,450,492,594
3,9,148,360,437,504,598
4,11,1,374,473,494,605
5,21,1,365,448,507,601
6,70,149,361,470,496,583
7,74,7,337,460,508,614
8,84,1,346,447,511,594
9,88,2,361,460,523,609
10,157,1,1,449,501,597
11,176,172,357,461,516,598
12,186,128,372,445,504,593
13,188,1,1,439,519,598
14,208,130,355,465,501,598
15,254,130,353,469,514,596
16,266,156,355,463,516,598
17,274,165,375,460,523,593
18,279,168,350,453,496,601
19,303,5,363,441,504,599
20,308,109,346,461,499,610
21,318,131,345,462,504,598
22,319,177,340,470,505,588
23,327,5,343,451,499,607
24,328,1,1,459,518,601
25,335,168,355,475,503,597
26,349,167,1,457,498,598
27,357,159,383,466,497,595
28,375,173,376,460,501,604
29,379,2,346,446,512,607
30,383,49,372,476,502,600
31,386,151,355,452,500,595
32,410,181,360,468,513,602
33,413,3,364,445,510,590
34,419,147,341,457,524,601
35,431,169,353,469,509,593
36,437,1,1,467,494,609
37,439,24,346,456,505,612
38,445,1,358,459,516,591
39,463,92,337,448,496,611
40,464,7,364,447,495,601
41,473,2,344,458,493,598
42,476,1,362,436,488,603
43,479,152,345,465,502,593
44,495,154,346,448,512,597
45,500,2,371,476,507,597
46,507,135,357,451,502,605
47,508,1,372,480,490,598
48,513,50,345,458,507,594
49,531,145,1,447,498,588
50,547,79,365,456,504,588
51,553,53,350,457,510,606
52,565,181,358,467,496,602
53,566,14,347,449,501,599
54,570,165,2,3,500,595
55,580,1,365,453,500,601
56,612,182,368,444,501,597
57,621,3,368,444,496,600
58,627,89,359,459,505,590
59,637,2,377,451,500,597
60,638,92,364,463,508,604
