"","node","inspow"
"1",361,3944
"2",389,3941
"3",483,3956
"4",497,3934
"5",652,3951
"6",670,3944
"7",1406,3952
"8",1452,3942
"9",1924,3945
"10",2156,3951
"11",2164,3955
"12",2477,3957
"13",2951,3944
"14",2952,3946
"15",3028,3752
"16",3115,3967
"17",3167,3935
"18",3259,3956
"19",3273,3947
"20",3275,3922
"21",3297,3944
"22",3303,3945
"23",3305,3936
