"","node","inspow"
"1",597,3930
"2",949,3939
"3",1013,3951
"4",1593,3934
"5",1764,3884
"6",1765,3956
"7",1779,3940
"8",2032,3949
"9",2066,3943
"10",2212,3940
"11",2351,3888
"12",2433,3909
"13",2732,3947
"14",2988,3949
