"","shellno","nodes"
"1",1,0.276353276353276
"2",2,0.227920227920228
"3",3,0.165242165242165
"4",4,0.0712250712250712
"5",5,0.094017094017094
"6",6,0.0854700854700855
"7",7,0.0797720797720798
