x,node,at_point_10,at_point_25,at_point_40,at_point_50,at_point_80
1,30,1,359,458,497,593
2,71,89,376,471,497,604
3,93,150,370,452,498,611
4,150,159,376,459,511,596
5,154,127,376,457,506,597
6,196,138,368,459,506,597
7,199,1,371,468,510,603
