match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,1,AB de Villiers,PA Patel,DL Chahar,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,2,PA Patel,AB de Villiers,DL Chahar,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,3,AB de Villiers,PA Patel,DL Chahar,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,4,AB de Villiers,PA Patel,DL Chahar,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,5,AB de Villiers,PA Patel,DL Chahar,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,7,6,AB de Villiers,PA Patel,DL Chahar,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,1,AB de Villiers,PA Patel,Harbhajan Singh,0,0,0,0,0,0,2,0,2,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,2,AB de Villiers,PA Patel,Harbhajan Singh,0,0,0,0,0,0,0,0,0,AB de Villiers,caught
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,3,PA Patel,S Hetmyer,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,4,PA Patel,S Hetmyer,Harbhajan Singh,0,0,0,1,0,0,1,1,2,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,5,S Hetmyer,PA Patel,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,8,6,S Hetmyer,PA Patel,Harbhajan Singh,0,0,0,0,0,0,0,0,0,S Hetmyer,run out
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,1,PA Patel,S Dube,SK Raina,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,2,S Dube,PA Patel,SK Raina,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,3,S Dube,PA Patel,SK Raina,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,4,PA Patel,S Dube,SK Raina,0,0,0,0,0,0,2,0,2,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,5,PA Patel,S Dube,SK Raina,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,9,6,S Dube,PA Patel,SK Raina,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,1,S Dube,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,2,S Dube,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,S Dube,caught
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,3,C de Grandhomme,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,4,C de Grandhomme,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,5,C de Grandhomme,PA Patel,Imran Tahir,0,0,0,0,0,0,4,0,4,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,10,6,C de Grandhomme,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,1,PA Patel,C de Grandhomme,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,2,C de Grandhomme,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,3,C de Grandhomme,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,C de Grandhomme,caught
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,4,N Saini,PA Patel,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,5,PA Patel,N Saini,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,11,6,N Saini,PA Patel,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,1,N Saini,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,N Saini,caught
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,2,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,3,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,4,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,5,PA Patel,YS Chahal,Imran Tahir,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,12,6,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,1,PA Patel,YS Chahal,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,2,PA Patel,YS Chahal,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,3,YS Chahal,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,4,YS Chahal,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,5,YS Chahal,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,13,6,YS Chahal,PA Patel,RA Jadeja,0,0,0,0,0,0,3,0,3,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,1,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,2,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,3,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,4,YS Chahal,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,YS Chahal,caught
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,5,UT Yadav,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,14,6,UT Yadav,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,1,PA Patel,UT Yadav,RA Jadeja,0,0,0,0,0,0,4,0,4,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,2,PA Patel,UT Yadav,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,3,PA Patel,UT Yadav,RA Jadeja,0,0,0,0,0,0,2,0,2,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,4,PA Patel,UT Yadav,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,5,PA Patel,UT Yadav,RA Jadeja,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,15,6,UT Yadav,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,1,PA Patel,UT Yadav,Imran Tahir,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,2,UT Yadav,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,3,UT Yadav,PA Patel,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,4,UT Yadav,PA Patel,Imran Tahir,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,5,PA Patel,UT Yadav,Imran Tahir,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,16,6,PA Patel,UT Yadav,Imran Tahir,0,0,0,0,0,0,1,0,1,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,1,PA Patel,UT Yadav,RA Jadeja,0,0,0,1,0,0,1,1,2,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,2,UT Yadav,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,3,UT Yadav,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,4,UT Yadav,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,5,UT Yadav,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,UT Yadav,bowled
11137,1,Royal Challengers Bangalore,Chennai Super Kings,17,6,Mohammed Siraj,PA Patel,RA Jadeja,0,0,0,0,0,0,0,0,0,,
11137,1,Royal Challengers Bangalore,Chennai Super Kings,18,1,PA Patel,Mohammed Siraj,DJ Bravo,0,0,0,0,0,0,0,0,0,PA Patel,caught
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,1,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,2,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,3,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,4,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,5,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,1,6,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,1,AT Rayudu,SR Watson,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,2,AT Rayudu,SR Watson,N Saini,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,3,SR Watson,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,4,SR Watson,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,5,SR Watson,AT Rayudu,N Saini,0,0,0,1,0,0,1,1,2,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,2,6,AT Rayudu,SR Watson,N Saini,0,0,0,0,0,0,6,0,6,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,1,SR Watson,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,SR Watson,bowled
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,2,SK Raina,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,3,SK Raina,AT Rayudu,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,4,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,5,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,3,6,SK Raina,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,1,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,2,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,3,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,4,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,5,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,4,6,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,1,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,2,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,3,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,4,SK Raina,AT Rayudu,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,5,AT Rayudu,SK Raina,YS Chahal,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,5,6,SK Raina,AT Rayudu,YS Chahal,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,1,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,2,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,3,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,4,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,5,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,6,6,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,1,SK Raina,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,2,SK Raina,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,3,SK Raina,AT Rayudu,N Saini,0,0,0,0,1,0,2,1,3,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,4,AT Rayudu,SK Raina,N Saini,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,5,AT Rayudu,SK Raina,N Saini,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,6,SK Raina,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,7,7,SK Raina,AT Rayudu,N Saini,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,1,AT Rayudu,SK Raina,M Ali,0,0,0,0,0,0,1,0,1,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,2,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,3,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,4,0,4,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,4,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,,
11137,2,Chennai Super Kings,Royal Challengers Bangalore,8,5,SK Raina,AT Rayudu,M Ali,0,0,0,0,0,0,0,0,0,,
